,Rent,Rental_Type,Area,Elevator,Subway,Balcony,Floor_Type,Electricity,Heating,Renovation,Bedroom_num,Living_Room_num,Bathroom_num,Toward,Location,Maintenance_Date,Facility_Washing_Machine,Facility_Air_Conditioner,Facility_Wardrobe,Facility_TV,Facility_Refrigerator,Facility_Water_Heater,Facility_Bed,Facility_Natural_Gas,Facility_num
51,13500,1,137,0,1,0,1,0,0,1,4,2,5,19,1340,2024/11/14,1,1,1,1,1,1,0,1,26
52,3700,1,103,1,0,0,2,0,0,1,3,2,1,19,240,2024/11/8,1,1,1,1,1,1,0,1,23
53,2803,1,116.65,1,0,0,2,0,0,0,3,2,2,19,410,2024/11/15,1,1,1,1,1,1,0,1,26
54,2400,1,98,1,0,0,3,0,0,1,3,2,2,19,944,2024/11/15,1,1,1,0,1,1,1,1,22
55,1800,1,50,1,0,0,2,1,0,1,1,1,1,19,697,2024/11/8,1,1,1,1,1,1,0,0,19
56,2025,1,83,1,0,0,3,0,0,1,3,1,1,19,698,2024/11/13,1,1,1,1,1,1,1,1,28
57,1600,1,54,1,0,0,3,0,0,1,1,1,1,19,23,2024/11/15,1,1,1,1,1,1,1,1,25
58,2327,1,105,1,0,0,1,0,0,1,3,2,2,19,944,2024/11/11,1,1,1,1,1,1,1,1,25
59,1600,1,54,1,0,0,3,0,0,1,1,1,1,19,23,2024/11/15,1,1,1,1,1,1,1,1,25
60,4600,1,80,0,1,0,3,0,0,0,2,2,1,19,1190,2024/11/15,1,1,1,1,1,1,0,1,23
61,2300,1,108,1,0,0,1,0,0,0,4,2,2,19,944,2024/11/15,1,1,1,0,1,1,1,1,22
62,3000,1,95,1,1,0,2,0,0,1,3,2,2,19,1724,2024/11/12,1,1,1,0,1,1,1,0,18
63,1800,1,50,1,0,0,2,1,0,1,1,1,1,19,697,2024/11/8,1,1,1,1,1,1,0,0,19
64,1800,1,120,0,0,0,3,0,0,0,3,2,2,19,888,2024/11/12,0,0,1,0,0,0,1,0,4
65,3900,1,98,1,0,0,1,0,0,1,3,2,2,29,1308,2024/11/11,1,1,1,1,1,1,1,1,28
66,2800,1,45,1,1,0,1,0,0,1,2,1,2,18,611,2024/11/14,1,1,1,1,1,1,1,0,24
67,4200,1,115,1,1,0,1,0,0,1,3,1,2,19,33,2024/11/8,1,1,1,1,1,1,1,1,25
68,2900,1,100,1,1,0,1,0,0,1,3,2,2,19,880,2024/11/15,0,1,1,0,0,1,1,1,15
69,2160,1,42,1,1,0,2,1,0,1,2,1,1,17,699,2024/11/13,1,1,1,1,1,1,0,0,22
70,4400,1,133.62,0,0,0,2,0,0,1,4,2,2,19,1389,2024/11/15,1,1,1,0,1,1,1,1,25
71,3000,1,105,1,1,0,3,0,0,1,4,2,2,19,51,2024/11/16,1,1,1,0,1,1,1,1,22
