,Rent,Rental_Type,Area,Elevator,Subway,Balcony,Floor_Type,Electricity,Heating,Renovation,Bedroom_num,Living_Room_num,Bathroom_num,Toward,Location,Maintenance_Date,Facility_Washing_Machine,Facility_Air_Conditioner,Facility_Wardrobe,Facility_TV,Facility_Refrigerator,Facility_Water_Heater,Facility_Bed,Facility_Natural_Gas,Facility_num
50,15000,1,149,1,1,0,1,0,0,1,3,2,2,21,679,2024/11/14,0,1,1,1,1,1,1,1,24
51,3100,1,30.61,0,0,0,2,0,0,0,1,0,1,23,2560,2024/11/11,0,0,1,0,0,0,0,1,9
52,12000,1,62.15,1,1,0,2,0,0,1,1,1,1,10,867,2024/11/14,1,1,1,1,1,1,0,1,26
53,5800,1,81.09,1,0,0,3,0,0,0,3,1,1,21,896,2024/11/12,1,1,0,0,1,1,0,0,13
54,15000,1,76.27,1,1,0,2,0,0,1,1,2,1,4,2789,2024/11/14,1,1,1,1,1,1,1,1,31
55,80000,1,298.5,1,1,0,2,0,0,1,5,3,4,21,481,2024/11/10,1,1,1,1,1,1,1,1,28
56,3030,0,13.4,1,1,0,1,0,0,1,3,1,1,21,1534,2024/11/14,1,1,1,0,1,0,1,1,21
57,55000,1,291.63,1,1,0,3,0,0,1,4,2,3,21,2789,2024/11/11,0,0,1,0,0,0,1,1,11
58,2590,0,10.7,1,1,0,3,0,0,1,3,1,1,30,95,2024/11/14,1,1,1,0,1,1,1,1,25
59,15800,1,67.27,1,1,0,1,0,0,1,1,1,1,11,495,2024/11/12,1,1,1,1,1,1,0,1,26
60,46000,1,224.53,1,1,0,2,0,0,1,4,2,2,23,324,2024/11/14,0,1,1,0,1,0,1,0,10
61,10400,1,71.74,1,1,0,1,1,0,1,1,1,1,21,451,2024/11/9,1,1,1,1,1,1,1,1,31
62,10500,1,66.34,1,1,0,3,0,1,1,1,1,1,21,3205,2024/11/14,1,1,1,1,1,0,1,0,17
63,18000,1,169.9,1,0,0,1,0,1,1,3,2,2,21,1070,2024/11/8,1,1,1,1,1,1,0,1,29
64,4200,1,50,1,0,0,1,0,0,1,1,1,1,21,896,2024/11/13,1,1,1,0,1,1,1,1,22
65,9500,1,69.51,1,1,0,1,0,1,0,1,1,1,21,1070,2024/11/8,1,1,1,1,1,1,1,1,31
66,1990,0,7.55,0,1,0,2,0,0,1,4,1,2,19,246,2024/11/13,1,1,1,0,1,1,1,1,25
67,4200,1,36.65,1,1,0,3,0,0,1,1,1,1,11,1107,2024/11/12,1,1,1,1,1,1,1,0,21
68,8000,1,75.77,1,1,0,2,0,0,0,1,2,1,21,96,2024/11/14,1,1,1,0,1,1,1,1,25
69,6660,1,52,1,1,0,1,1,0,1,1,1,1,21,2827,2024/11/13,1,1,1,1,1,0,1,1,24
70,13600,1,121.13,1,1,0,2,0,0,1,4,2,2,23,1534,2024/11/10,1,1,1,1,1,1,0,1,26
71,26000,1,176.92,1,1,0,3,0,0,1,3,2,2,21,970,2024/11/11,1,1,1,1,1,1,0,1,29
