,Rent,Rental_Type,Area,Elevator,Subway,Balcony,Floor_Type,Electricity,Heating,Renovation,Bedroom_num,Living_Room_num,Bathroom_num,Toward,Location,Maintenance_Date,Facility_Washing_Machine,Facility_Air_Conditioner,Facility_Wardrobe,Facility_TV,Facility_Refrigerator,Facility_Water_Heater,Facility_Bed,Facility_Natural_Gas,Facility_num
145,550,0,20,1,1,1,2,0,0,1,4,1,2,25,1093,2024/11/30,1,1,1,0,1,1,1,0,18
146,599,0,30,1,1,1,2,0,0,1,4,1,2,27,1093,2024/11/30,1,1,1,0,1,1,1,0,18
147,750,0,32,1,1,1,2,0,0,1,4,1,2,27,1093,2024/11/30,1,1,1,0,1,1,1,0,18
148,1150,0,35,1,1,1,2,0,0,1,4,1,2,27,1093,2024/11/30,1,1,1,0,1,1,1,0,18
149,800,0,22,1,1,0,1,0,1,1,4,1,2,27,1093,2024/11/30,1,1,1,1,1,1,1,1,31
150,1150,0,30,1,1,1,1,0,1,1,5,1,2,27,1093,2024/11/30,0,1,1,0,0,0,1,0,10
151,550,0,26,1,1,0,1,0,1,1,5,1,2,27,1093,2024/12/2,0,1,1,0,0,0,1,0,10
152,1100,0,26.98,1,0,0,1,0,1,1,3,0,3,27,364,2024/12/5,1,1,1,0,1,1,1,0,21
153,950,0,24,1,1,1,3,0,1,1,5,0,2,27,357,2024/11/13,1,1,1,0,0,1,1,0,21
154,750,0,20,1,1,0,1,0,1,1,5,0,2,14,369,2024/11/26,0,1,1,0,0,1,1,0,11
155,820,0,21,1,1,0,2,0,1,1,5,0,2,27,369,2024/11/12,1,1,1,0,0,1,1,1,22
156,1400,0,35,1,0,0,3,0,1,1,4,1,2,27,386,2024/11/19,1,1,1,1,1,1,1,1,31
157,810,0,21,1,0,0,2,0,1,1,3,2,2,27,382,2024/11/26,1,1,1,0,1,1,1,1,25
158,800,0,12,1,1,0,2,0,1,1,4,1,2,14,394,2024/11/5,1,1,1,0,0,1,1,1,25
159,950,0,18,1,1,1,2,0,1,1,4,1,2,27,394,2024/11/14,1,1,1,0,0,1,1,1,25
160,1200,0,25,1,1,0,1,0,1,1,5,1,4,27,372,2024/11/19,1,1,1,0,0,1,1,0,21
161,900,0,20.17,0,0,0,2,0,1,1,3,0,3,27,1162,2024/12/4,1,1,1,0,1,1,1,0,21
162,680,0,17,0,0,1,2,0,1,1,4,1,2,43,992,2024/11/30,1,1,1,0,0,1,1,1,25
163,650,0,22,1,0,0,2,0,1,1,4,1,1,27,994,2024/11/30,1,1,1,1,1,1,1,1,31
164,750,0,18,1,1,0,3,0,1,1,4,1,2,27,991,2024/11/30,0,1,1,0,0,0,1,0,10
165,800,0,22,1,1,0,3,0,1,1,4,1,2,27,991,2024/11/30,0,1,1,0,0,0,1,0,7
166,950,0,33,1,1,1,3,0,1,1,4,1,2,27,991,2024/11/30,0,0,1,0,0,0,1,0,7
167,650,0,16,1,1,0,2,0,1,1,5,1,2,25,991,2024/11/30,1,1,1,0,1,1,1,1,25
168,900,0,30,0,1,1,3,0,1,1,5,1,2,27,991,2024/11/30,0,1,1,0,0,0,1,0,10
169,850,0,20,1,1,1,2,0,1,1,5,1,2,27,991,2024/11/30,1,1,1,0,1,1,1,1,28
170,1230,0,20,1,1,0,2,0,1,1,5,1,2,27,991,2024/11/30,1,1,1,0,1,1,1,1,28
171,1100,0,28,0,1,0,1,0,1,1,5,1,2,27,991,2024/11/30,0,1,1,0,0,0,1,0,10
172,600,0,20,0,0,1,1,0,1,1,5,0,2,27,434,2024/11/13,0,0,1,0,1,1,1,1,21
173,800,0,25,1,0,0,2,0,1,1,4,0,1,25,1364,2024/11/29,1,1,1,1,1,1,1,1,31
174,550,0,15,0,1,0,3,0,1,1,4,0,1,27,1364,2024/11/29,1,1,1,1,1,1,1,1,31
175,700,0,15,0,1,0,2,0,1,1,4,0,1,27,1364,2024/11/30,1,1,1,1,1,1,1,1,31
176,800,0,26,0,1,0,3,0,1,1,4,0,1,27,1364,2024/11/29,1,1,1,1,1,1,1,1,31
177,600,0,15,0,1,0,3,0,1,1,4,0,1,27,1364,2024/11/29,1,1,1,1,1,1,1,1,31
178,550,0,15,0,1,0,3,0,1,1,5,0,2,27,1364,2024/11/30,1,1,1,1,1,1,1,1,31
179,550,0,15,0,1,0,3,0,1,1,5,0,2,27,1364,2024/11/30,1,1,1,1,1,1,1,1,31
180,700,0,22,1,1,1,2,0,1,1,3,1,2,27,913,2024/11/28,0,1,1,0,0,0,1,0,13
181,950,0,23,1,0,1,3,0,1,1,5,0,2,27,1535,2024/11/15,1,1,1,0,0,1,1,0,21
182,900,0,14,1,0,1,3,0,1,1,5,0,2,27,1535,2024/11/15,1,1,1,0,0,1,1,0,21
183,650,0,13,1,0,0,3,0,1,1,5,0,2,25,1531,2024/11/18,1,1,1,0,0,1,1,1,22
184,650,0,20,1,0,1,2,0,1,1,5,1,2,27,1566,2024/11/12,0,0,1,0,0,1,1,0,14
185,680,0,25,1,1,0,3,0,1,1,5,0,4,25,1556,2024/11/27,1,1,1,0,0,1,1,0,21
186,650,0,20,1,1,0,3,0,1,1,5,0,4,25,1556,2024/11/27,1,1,1,0,0,1,1,0,21
187,950,0,23.51,1,0,0,3,0,1,1,3,0,3,27,1539,2024/12/4,1,1,1,0,1,1,1,0,21
188,750,0,25,1,1,0,1,0,1,1,3,1,2,27,1562,2024/11/30,0,1,1,0,0,0,1,0,10
189,800,0,30,1,1,1,1,0,1,1,3,1,2,27,1562,2024/11/30,0,1,1,0,0,0,1,0,10
190,600,0,30,1,1,0,2,0,1,1,5,2,3,29,1562,2024/11/19,1,1,1,1,1,1,1,1,31
191,850,0,30,1,1,1,2,0,1,1,5,2,3,27,1562,2024/11/19,1,1,1,1,1,1,1,1,31
192,700,0,15,1,0,0,3,0,1,1,5,1,2,25,1547,2024/11/8,1,1,1,0,0,1,1,0,21
193,850,0,28,1,0,0,3,0,1,1,5,1,2,27,1547,2024/11/8,1,1,1,0,0,1,1,0,21
194,750,0,25,1,0,0,3,0,1,1,5,1,2,27,1547,2024/11/8,1,1,1,0,1,1,1,0,24
195,850,0,25,1,0,1,3,0,1,1,5,1,2,43,1547,2024/11/8,1,1,1,0,0,1,1,0,21
196,950,0,15,1,0,0,3,0,1,1,5,1,2,25,1549,2024/11/10,1,1,1,1,1,1,1,1,31
197,650,0,20,1,0,1,3,0,1,1,5,1,2,27,1549,2024/11/28,1,1,1,0,0,1,1,0,21
198,650,0,20,1,0,0,3,0,1,1,5,1,2,27,1549,2024/11/28,1,1,1,1,0,1,1,0,24
199,600,0,12,1,0,0,2,0,1,1,3,1,1,27,1523,2024/11/26,1,1,1,1,1,1,1,1,31
200,600,0,16,1,0,1,2,0,1,1,3,2,2,27,1523,2024/11/30,1,1,1,1,1,1,1,1,31
201,699,0,20,1,0,0,1,0,1,1,4,0,2,27,1551,2024/11/26,1,1,1,1,1,1,1,1,31
202,530,0,15,1,1,0,2,0,1,1,5,1,2,27,1603,2024/11/26,1,1,1,1,1,1,1,1,31
203,700,0,24,1,0,0,1,0,1,1,5,0,3,27,1592,2024/11/14,1,1,1,0,0,1,1,0,21
204,600,0,20,1,0,0,3,0,1,1,4,2,2,27,235,2024/11/30,0,1,1,0,0,0,1,1,14
205,750,0,21,1,1,1,2,0,1,1,3,2,2,27,1361,2024/11/30,1,1,1,1,1,1,1,1,31
206,950,0,15,1,0,1,2,0,1,1,5,0,3,27,886,2024/11/15,1,1,1,0,0,1,1,0,21
207,900,0,30,0,0,1,3,0,1,1,4,1,2,27,443,2024/12/3,1,1,1,0,1,1,1,0,21
208,550,0,20,0,1,0,2,0,1,1,5,0,1,27,705,2024/10/30,1,1,1,0,0,1,1,0,21
209,850,0,25,1,1,1,1,0,1,0,3,2,2,27,857,2024/11/18,1,1,1,1,1,1,1,1,31
210,700,0,26,1,1,1,2,0,1,1,4,2,2,27,857,2024/11/24,1,1,1,0,0,1,1,0,21
211,950,0,18,1,1,1,3,0,1,1,5,1,2,27,292,2024/11/18,1,1,1,0,0,1,1,0,21
212,900,0,25,1,1,1,3,0,1,1,4,1,2,14,293,2024/11/30,1,1,1,0,1,1,1,1,28
213,1250,0,28,1,1,0,3,0,1,1,4,1,2,27,293,2024/11/25,1,1,1,0,1,1,1,1,25
214,660,0,16,1,0,1,2,0,1,1,5,0,2,27,289,2024/12/3,1,0,1,0,0,1,1,1,22
215,680,0,17,1,0,1,3,0,1,1,3,2,2,27,1371,2024/11/30,1,1,1,1,1,1,1,1,31
216,680,0,25,0,0,0,3,0,1,1,3,1,2,27,1372,2024/11/26,1,1,1,1,1,1,1,1,31
217,650,0,13,1,0,0,1,0,1,1,5,1,1,22,899,2024/11/28,1,1,1,0,1,1,1,1,28
218,1250,0,21.58,0,1,0,3,0,1,1,3,0,3,27,341,2024/11/29,1,1,1,0,1,1,1,0,21
219,780,0,16,1,0,1,3,0,1,1,3,2,2,27,948,2024/11/30,1,1,1,1,1,1,1,1,31
